Query,Result Count,Category,Status,SOI Covered,Rationale,Relevance Passed,Relevance Details,Refinement Round,Original Query,Recovery,Regeneration
remote diagnostics for agricultural machinery,24,specific,valid,"Remote diagnostics for mechanical, electronic, or software issues","The original query was too restrictive by combining specific protocols (CAN bus) with niche vehicle types (tractors/off-road) in a single string. I broadened the terminology from 'tractors' to 'agricultural machinery' and 'heavy vehicles' to capture more research, and simplified the technical focus to 'remote diagnostics' to ensure the search engine finds relevant maintenance technologies regardless of the specific bus protocol mentioned.",True,"The search results provided two highly relevant papers focused on engine diagnostics and fault detection for agricultural machinery, while the others were unrelated to mechanical maintenance.",2,CAN bus fault code analysis for agricultural machinery,True,False
condition monitoring for predictive maintenance in heavy machinery,33,specific,valid,Preventive and predictive maintenance tools for mixed fleets,Broadened the query by replacing 'agriculture' with 'off-highway' and 'heavy machinery' to capture relevant industrial and construction equipment research that applies to mixed agricultural fleets. Removed 'vibration analysis' in favor of 'condition monitoring' to include a wider range of predictive maintenance technologies.,True,"The search results were largely focused on stationary industrial plant maintenance, with only one paper directly addressing heavy mobile machinery relevant to agricultural fleet management.",1,vibration analysis for predictive maintenance in agriculture,False,False
telematics for agricultural machinery predictive maintenance,105,specific,valid,Fleet management software for equipment use and location,Shifted focus from general 'agricultural monitoring' to 'machinery maintenance' and 'predictive diagnostics'. Replaced 'IoT' with 'telematics' and 'predictive maintenance' to better capture the engineering and uptime aspects of fleet management rather than crop-sensing applications.,True,"The search results provided several highly relevant papers focusing on predictive maintenance schemes, neural networks for reliability, and digital tools for agricultural machinery, with only one paper being irrelevant due to a focus on financial reporting.",2,agricultural telematics for multibrand fleet management,True,False
CMMS for agricultural machinery maintenance planning,157,specific,valid,"Digital tools for maintenance planning, tracking, and alerts",Uses the industry-standard term CMMS specifically applied to the agricultural domain.,True,"The search results are highly relevant, providing insights into maintenance management models, servitization strategies, technician dispatch optimization, and operational factors affecting machinery health.",0,,True,False
predictive maintenance for agricultural machinery fleets,214,specific,valid,Preventive and predictive maintenance tools for mixed fleets,Broad query to capture researchers working on the core technical challenge in the specific domain.,True,"The search results provided highly relevant academic research covering predictive diagnostics, maintenance standards, and reliability engineering specifically for agricultural machinery.",0,,False,False
augmented reality for industrial equipment maintenance training,408,specific,valid,Training solutions for proper equipment use and upkeep,"Broadened the query by replacing the specific term 'agricultural machinery' with 'industrial equipment' and 'heavy machinery' concepts, while retaining 'augmented reality' and 'maintenance training'. This captures transferable expertise from related industrial sectors that face similar multibrand maintenance challenges.",True,"The search results successfully identified several researchers working on Augmented Reality for industrial maintenance and training, which is a key solution of interest for improving fleet uptime.",1,augmented reality for agricultural machinery repair training,False,False
prognostics and health management for off-road machinery,,,unvalidated — needs manual S2 check,Preventive and predictive maintenance tools for mixed fleets,Shifted focus from 'tractor' to 'off-road' and 'heavy machinery' to capture relevant industrial frameworks while excluding aerospace (turbofans) and wind energy. Added 'prognostics' and 'health management' to align with predictive maintenance standards for mixed fleets.,,S2 API unreachable during validation,1,remaining useful life estimation for tractor components,False,False
predictive maintenance for multibrand off-highway machinery,,,unvalidated — needs manual S2 check,Preventive and predictive maintenance tools for mixed fleets,Replaced 'mixed agricultural fleets' with 'off-highway machinery' and 'multibrand' to capture the specific industrial context of agricultural equipment while excluding irrelevant aviation and bike-sharing results. Added 'condition monitoring' to focus on the technical implementation of predictive maintenance.,,S2 API unreachable during validation,2,ISOBUS compatibility for multibrand fleet diagnostics,False,False
predictive maintenance for off-road vehicle electronics,,,unvalidated — needs manual S2 check,"Remote diagnostics for mechanical, electronic, or software issues",Removed the specific 'CAN bus' constraint and replaced 'agricultural machinery' with 'off-road vehicles' to capture relevant heavy machinery research. Changed 'predictive fault diagnosis' to 'predictive maintenance' to align with broader industry terminology while maintaining the core objective of remote diagnostics.,,S2 API unreachable during validation,2,remote fault diagnosis through CAN bus data,False,False
real-time location tracking for multibrand agricultural fleets,,,unvalidated — needs manual S2 check,Fleet management software for equipment use and location,Shifted focus from general 'telematics' to 'real-time monitoring' and 'location tracking' to filter out economic modeling and drone-specific papers. Added 'multibrand' to align with the specific need for mixed-fleet compatibility mentioned in the request context.,,S2 API unreachable during validation,4,telematics for agricultural equipment utilization and maintenance,False,False
